numeric__fixed acidity,numeric__volatile acidity,numeric__citric acid,numeric__residual sugar,numeric__chlorides,numeric__free sulfur dioxide,numeric__total sulfur dioxide,numeric__density,numeric__pH,numeric__sulphates,numeric__alcohol,categorical__type_red,categorical__type_white
-1.0565492,0.17865798,-0.18273976,-0.5568011,-0.12051495,-1.3199887,0.99118304,0.45685714,2.555742,-0.8800711,-0.91034234,0.19531853,1.0
-1.130655,4.7222033,-2.1915398,-0.45294142,0.53651416,-1.5211834,-1.8718446,-0.33732048,2.6568146,-0.13345228,1.3181261,1.0,0.0
0.79175824,-0.94462,1.17554,-0.87016475,-0.58738804,-0.46193045,0.4855197,0.0740506,0.4211755,0.45811442,-0.5789502,0.04779858,0.63569397
0.22033699,-0.09635997,0.2505881,0.2802085,-0.5761143,-0.29723173,-0.063239805,0.6280735,1.1161176,0.67688143,-0.12083132,0.18821071,0.69873774
-0.41998497,0.25100428,-1.0048447,-0.97236925,-0.93371063,1.8000538,0.5323876,-1.1348073,2.0334451,-0.100659445,0.57587177,0.17469417,1.0
-0.11335684,-0.7037835,1.8712854,-0.83842504,-0.71686566,-1.1942761,0.20541242,-1.1522764,0.7481676,0.4369171,1.8309081,0.20451526,1.0
0.1050569,-0.13301262,0.78707486,-0.1961967,-0.34121883,-1.247875,-0.36891013,-1.3370935,-0.6360152,-0.6122323,1.6965277,0.0,1.0
1.0916634,-0.002042136,0.48898593,1.8389491,-0.4399264,-0.22081786,0.2454768,0.98723173,-0.88622534,-0.40698367,-0.19388762,0.07414409,0.51870096
0.37992415,1.1435937,0.4398104,1.26977,-0.8226521,-0.46974152,0.9988446,0.8930505,-0.79519725,-0.2869776,-0.050910555,0.0,0.8761783
0.4182463,2.3720238,-0.030479874,-0.97236925,0.7773725,-1.5293858,0.25390118,0.58972657,0.89161044,0.5190119,-0.57846403,0.297433,0.39884675
-0.26527014,0.15564635,-0.21338111,2.1267874,0.2954202,0.34821394,1.0438086,1.4825032,0.06605587,-0.37596983,-1.1236573,0.18834071,0.9560552
-1.6286969,1.447452,-1.1167648,0.054177187,-0.03350832,-1.0272999,-1.8137865,0.29251757,2.1787477,0.29060864,0.31051925,0.54030055,0.0
-0.9045078,1.1106223,-1.7031198,-0.97236925,-0.6346949,-1.2811642,-1.0811083,-1.3342608,-1.0611409,-1.3435559,-0.054574143,0.08707805,1.0
-0.12267062,-0.49846444,-0.00014232844,-0.4191384,-0.6477901,-1.5386337,-0.4242159,-0.9321114,-0.7024221,-0.4804109,0.2917671,0.00038932636,1.0
-1.0988495,-0.16492537,-1.5657991,1.8880286,0.42033213,-0.700331,1.9558444,1.2321001,-1.113916,-0.49468127,-1.7593788,0.0,1.0
-0.3263848,0.20616104,-2.1915398,-0.14054586,0.5174374,0.6736933,0.45299155,-0.2998841,-0.0028944733,-0.47720602,-0.8983527,0.0,0.9248458
1.2972775,4.252708,-0.9181336,-0.97236925,2.6906962,-1.1821414,-0.59641147,0.98971355,1.0298448,1.1591666,-0.021531753,1.0,0.0
0.82351065,2.648397,-2.1915398,-0.29728487,-0.29683104,0.5033221,0.2840473,0.7420442,1.6245342,-0.3445967,-0.8042606,0.21573311,1.0
0.41142,2.9751487,-2.1345975,-0.6767544,-0.4944287,0.6940389,0.94050163,-0.13217147,1.1713609,-0.30189407,-0.032503847,0.02394596,0.9960144
-0.120003685,-0.6971669,1.0344983,0.27456796,-0.5887954,2.292848,1.5013387,1.1950339,1.3332235,0.59436554,-1.6078994,0.23477197,1.0
