numeric__fixed acidity,numeric__volatile acidity,numeric__citric acid,numeric__residual sugar,numeric__chlorides,numeric__free sulfur dioxide,numeric__total sulfur dioxide,numeric__density,numeric__pH,numeric__sulphates,numeric__alcohol,categorical__type_red,categorical__type_white
-0.8345042,-1.0442101,-1.6581907,0.87762296,0.6844876,-0.76826614,0.7858946,0.43282133,-0.09775433,-0.9265277,-1.7593788,0.0,1.0
-0.24371266,0.39297822,-1.5347118,-0.2285381,-0.18663852,-0.89646375,-0.95522565,2.0258129e-05,0.9443257,0.45140553,0.18035415,0.47472462,0.4581228
-1.0104657,0.6398879,-0.1399643,0.5337906,-0.18282224,-0.46401703,0.67806184,0.4326449,-1.8221475,1.069763,0.6724877,0.0,0.8121067
-1.3557851,1.9357145,-0.4086186,-0.33422,0.032508224,-0.46513277,0.9370528,-0.78254235,-0.45171976,-1.4985181,-0.35178798,0.0,1.0
-0.20773727,0.6270074,-1.0810479,-0.17251125,-0.292254,-1.5066367,-0.42419186,-0.074752584,0.074795045,-1.0572898,-0.39785624,0.014203966,0.9428499
-0.5121252,0.04410081,0.1378825,0.28128085,0.025227588,0.037749223,0.8169846,0.09112958,0.7994839,-1.130254,-0.9097589,0.0,1.0
-0.16833569,0.27275652,0.3355773,-0.7082813,-0.38655907,-1.4471676,-0.16379558,-0.8748446,0.4096843,-0.56660306,0.34975904,0.0,0.9998789
-0.047757223,0.6533967,-0.73780113,-0.9259875,-0.59225965,-0.24488002,-1.1816466,-0.83549595,-0.9239386,0.18159336,-0.6007634,0.26915818,0.7742686
-0.583022,1.1625139,-1.1682435,0.044051766,-0.6469862,-0.7352322,-0.18309093,0.36901724,2.0566754,-0.46529698,0.20867698,0.18593307,0.77126986
-1.1598431,0.1727055,-1.0460757,1.6705173,-0.09095685,1.5785431,2.1845164,0.85491043,-0.9607998,-1.5670129,-1.7593788,0.09050259,1.0
-0.57038736,-0.6401911,-0.6578642,-0.65200955,0.051550593,2.748576,1.6386334,-0.35662878,0.92982864,1.1614512,-0.84170055,0.05443733,0.8218945
-1.8776025,0.23887253,0.30435777,0.95976824,0.26917756,3.9356322,2.317571,0.5122987,1.1874299,0.010291171,-1.2146913,0.0,1.0
-1.316706,1.06533,-1.8695718,-0.47505802,-0.06572096,-0.41134226,-0.049043477,-0.42851624,2.458757,1.0563912,1.0648807,0.40028325,0.2862183
-0.21394625,0.18370521,0.54655415,-0.34050053,0.18942125,-1.2388616,-0.41666806,-0.5432547,-0.33509845,-0.59200084,-0.3326946,0.045181766,0.9887218
1.0079576,2.9882572,-2.1915398,-0.626365,0.820924,-1.2875259,-1.8718446,0.0261234,0.5757575,-1.441997,-1.0857579,1.0,0.0
